age,marital,education,balance,housing,loan,duration,campaign,pdays,previous,poutcome,deposit
58,married,tertiary,2143,yes,no,261,1,-1,0,unknown,no
44,single,secondary,29,yes,no,151,1,-1,0,unknown,no
33,married,secondary,2,yes,yes,76,1,-1,0,unknown,no
47,married,unknown,1506,yes,no,92,1,-1,0,unknown,no
33,single,unknown,1,no,no,198,1,-1,0,unknown,no
35,married,tertiary,231,yes,no,139,1,-1,0,unknown,no
28,single,tertiary,447,yes,yes,217,1,-1,0,unknown,no
42,divorced,tertiary,2,yes,no,380,1,-1,0,unknown,no
58,married,primary,121,yes,no,50,1,-1,0,unknown,no
43,single,secondary,593,yes,no,55,1,-1,0,unknown,no
41,divorced,secondary,270,yes,no,222,1,-1,0,unknown,no
29,single,secondary,390,yes,no,137,1,-1,0,unknown,no
53,married,secondary,6,yes,no,517,1,-1,0,unknown,no
58,married,unknown,71,yes,no,71,1,-1,0,unknown,no
57,married,secondary,162,yes,no,174,1,-1,0,unknown,no
51,married,primary,229,yes,no,353,1,-1,0,unknown,no
45,single,unknown,13,yes,no,98,1,-1,0,unknown,no
57,married,primary,52,yes,no,38,1,-1,0,unknown,no
60,married,primary,60,yes,no,219,1,-1,0,unknown,no
33,married,secondary,0,yes,no,54,1,-1,0,unknown,no
28,married,secondary,723,yes,yes,262,1,-1,0,unknown,no
56,married,tertiary,779,yes,no,164,1,-1,0,unknown,no
32,single,primary,23,yes,yes,160,1,-1,0,unknown,no
25,married,secondary,50,yes,no,342,1,-1,0,unknown,no
40,married,primary,0,yes,yes,181,1,-1,0,unknown,no
44,married,secondary,-372,yes,no,172,1,-1,0,unknown,no
39,single,tertiary,255,yes,no,296,1,-1,0,unknown,no
52,married,secondary,113,yes,yes,127,1,-1,0,unknown,no
46,single,secondary,-246,yes,no,255,2,-1,0,unknown,no
36,single,secondary,265,yes,yes,348,1,-1,0,unknown,no
57,married,secondary,839,no,yes,225,1,-1,0,unknown,no
49,married,tertiary,378,yes,no,230,1,-1,0,unknown,no
60,married,secondary,39,yes,yes,208,1,-1,0,unknown,no
59,married,secondary,0,yes,no,226,1,-1,0,unknown,no
51,married,tertiary,10635,yes,no,336,1,-1,0,unknown,no
57,divorced,secondary,63,yes,no,242,1,-1,0,unknown,no
25,married,secondary,-7,yes,no,365,1,-1,0,unknown,no
53,married,secondary,-3,no,no,1666,1,-1,0,unknown,no
36,divorced,secondary,506,yes,no,577,1,-1,0,unknown,no
37,single,secondary,0,yes,no,137,1,-1,0,unknown,no
44,divorced,secondary,2586,yes,no,160,1,-1,0,unknown,no
50,married,secondary,49,yes,no,180,2,-1,0,unknown,no
60,married,unknown,104,yes,no,22,1,-1,0,unknown,no
54,married,secondary,529,yes,no,1492,1,-1,0,unknown,no
58,married,unknown,96,yes,no,616,1,-1,0,unknown,no
36,single,primary,-171,yes,no,242,1,-1,0,unknown,no
58,married,tertiary,-364,yes,no,355,1,-1,0,unknown,no
44,married,secondary,0,yes,no,225,2,-1,0,unknown,no
55,divorced,secondary,0,no,no,160,1,-1,0,unknown,no
29,single,tertiary,0,yes,no,363,1,-1,0,unknown,no
54,married,secondary,1291,yes,no,266,1,-1,0,unknown,no
48,divorced,tertiary,-244,yes,no,253,1,-1,0,unknown,no
32,married,tertiary,0,yes,no,179,1,-1,0,unknown,no
42,single,secondary,-76,yes,no,787,1,-1,0,unknown,no
24,single,secondary,-103,yes,yes,145,1,-1,0,unknown,no
38,single,tertiary,243,no,yes,174,1,-1,0,unknown,no
38,single,tertiary,424,yes,no,104,1,-1,0,unknown,no
47,married,unknown,306,yes,no,13,1,-1,0,unknown,no
40,single,unknown,24,yes,no,185,1,-1,0,unknown,no
